leiloeiro,url,titulo,cidade,estado,preco,avaliacao,desconto_pct,duplicado
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11390/lote/242233/apartamento-no-103-bloco-02-com-vaga-de-garagem-no-residencial-ametista-em-joinville-sc,"Apartamento nº 103, bloco 02, com vaga de garagem, no Residencial Ametista, em Joinville/SC",Joinville,SC,99605.81,195305.52,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11392/lote/242236/penhora-dos-direitos-sobre-terreno-no-lt-17-qd-c-com-area-total-de-1-005-00m2-no-lot-industrial-4a-linha-em-criciuma-sc,"Penhora dos direitos sobre Terreno no LT 17 QD C, com área total de 1.005,00m², no Lot. Industrial 4ª Linha, em Criciúma/SC",Criciúma,SC,222488.41,436251.8,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11392/lote/242237/penhora-dos-direitos-sobre-terreno-no-lt-18-qd-c-com-area-de-1-005-00m2-no-lot-industrial-4a-linha-em-criciuma-sc,"Penhora dos direitos sobre Terreno no LT 18 QD C, com área total de 1.005,00m², no Lot. Industrial 4ª Linha, em Criciúma/SC",Criciúma,SC,222488.41,436251.8,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11437/lote/242322/terreno-com-area-de-13-654-46m2-gleba-do-nucleo-da-colonia-guatupe-em-sao-jose-do-pinhais-pr,"Terreno no Lote nº 04, com área de 13.654,46m², Gleba do Núcleo da Colônia Guatupê, em São José do Pinhais/PR",Florianópolis,SC,2765088.79,5421742.74,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11437/lote/242323/terreno-no-lote-no-05-com-area-de-13-654-46m2-gleba-do-nucleo-da-colonia-guatupe-no-municipio-de-sao-jose-do-pinhais-pr,"Terreno no Lote nº 05, com área de 13.654,46m², Gleba do Núcleo da Colônia Guatupê, em São José do Pinhais/PR",Florianópolis,SC,3394565.48,6656010.75,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11438/lote/242324/imovel-com-area-de-383-63m2-com-edificacao-no-municipio-de-braco-do-norte-sc,"Imóvel com área de 383,63m², com Edificação, no Município de Braço do Norte/SC",Braço do Norte,SC,154904.47,303734.26,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11438/lote/242325/terreno-rural-com-area-de-99-302-78m2-bairro-boa-vista-no-municipio-de-braco-do-norte-sc,"Terreno rural com área de 99.302,78m², bairro Boa Vista, no Município de Braço do Norte/SC",Braço do Norte,SC,95656.88,187562.52,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11345/lote/242164/chapa-de-granito-branco-siena-2-80-x-1-90-5-32m2,"Chapa de granito branco Siena, 2,80 x 1,90, 5,32m²",Florianópolis,SC,2906.49,5699.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11325/lote/242141/apartamento-no-23-bloco-10-com-vaga-de-garagem-no-residencial-milano-em-gaspar-sc,"Apartamento nº 23, bloco 10, com vaga de garagem, no Residencial Milano, em Gaspar/SC",Gaspar,SC,62438.52,122428.49,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11451/lote/242342/terreno-com-area-de-385-44m2-bairro-guiomar-no-municipio-de-antonio-carlos-sc,"Terreno com área de 385,44m², bairro Guiomar, no Município de Antônio Carlos/SC",Florianópolis,SC,130212.48,255318.6,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11450/lote/242339/imovel-com-area-de-255-00m2-com-edificacao-no-lot-praia-do-arroio-corrente-no-municipio-de-jaguaruna-sc,"Imóvel com área de 255,00m², com Edificação, no Lot. Praia do Arroio Corrente, no Município de Jaguaruna/SC",Tubarão,SC,167727.48,328877.42,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11450/lote/242340/terreno-com-area-de-1-230-00m2-com-galpao-de-aprox-207-90m2-e-imovel-de-aprox-442-00m2-em-tubarao-sc,"Terreno com área de 1.230,00m², com Galpão de aprox. 207,90m² e Imóvel de aprox. 442,00m², em Tubarão/SC",Tubarão,SC,1073776.93,2105444.98,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11450/lote/242341/terreno-com-area-de-456-00m2-no-lot-vila-paraiso-no-municipio-de-tubarao-sc,"Terreno com área de 456,00m², no Lot. Vila Paraíso, no Município de Tubarão/SC",Tubarão,SC,322250.55,631863.84,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11449/lote/242338/apartamento-no-302-bloco-05-no-condominio-stella-praia-comprida-em-sao-jose-sc,"Apartamento nº 302, bloco 05, no Condomínio Stella, Praia Comprida, em São José/SC",São José,SC,149426.78,292993.7,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11443/lote/242330/apartamento-no-301-bloco-02-no-cond-res-azaleias-bela-vista-no-municipio-de-palhoca-sc,"Apartamento nº 301, bloco 02, no Cond. Res. Azaléias, Bela Vista, no Município de Palhoça/SC",Palhoça,SC,103393.03,202731.44,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11442/lote/242329/terreno-com-area-de-300-00m2-bairro-lagoinhas-em-balneario-gaivotas-sc,"Terreno com área de 300,00m², bairro Lagoinhas, em Balneário Gaivotas/SC",Içara,SC,8243.14,16163.03,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11591/lote/243010/imovel-com-area-de-392-00m2-com-edificacao-no-loteamento-vila-bardini-em-treze-de-maio-sc,"Imóvel com área de 392,00m², com Edificação, no Loteamento Vila Bardini, em Treze de Maio/SC",Leilão Extrajudicial,,250000.0,250000.0,100.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11596/lote/243020/parte-de-terras-de-cultura-com-area-de-26-000-00m2-situada-na-linha-santo-antonio-em-sao-joao-da-urtiga-rs-2,"Parte de terras de cultura com área de 26.000,00m², situada na Linha Santo Antônio, em São João da Urtiga/RS",Leilão Extrajudicial,,1580000.0,1580000.0,100.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11459/lote/242350/imovel-de-posse-com-area-total-de-700-00m2-bairro-aventureiro-no-municipio-de-joinville-sc,"Imóvel de posse com área total de 700,00m², bairro Aventureiro, no Município de Joinville/SC",Joinville,SC,291744.28,364680.36,80.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11462/lote/242353/apartamento-n0-302-bloco-11-no-cond-parque-flores-do-oriente-em-palhoca-sc,"Apartamento n° 302, bloco 11, no Cond. Parque Flores do Oriente, em Palhoça/SC",Palhoça,SC,109258.17,214231.71,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11463/lote/242354/imovel-industrial-lotes-b8-06-b8-07-b8-08-b8-09-e-b8-10-com-area-de-12-250-00m2-em-joacaba-sc-2,"Imóvel Industrial, Lotes B8-06, B8-07, B8-08, B8-09 e B8-10, com área de 12.250,00m², em Joaçaba/SC",Joaçaba,SC,2268932.87,4448887.99,51.0,False
